major_code,major_name,subject_group,point,note,year,university_code,university_name
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,24.78,"Nữ, Vùng 3",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,20.88,"Nam, Vùng 8",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,16.15,"Nữ, Vùng 8",2023.0,CSH,Học Viện Cảnh Sát Nhân Dân
7340301,Kế toán,A00; A01; D01; C04,15,,2023.0,DCA,Đại Học Chu Văn An
7340201,Tài chính - Ngân hàng,A00; A01; D01; C04,15,,2023.0,DCA,Đại Học Chu Văn An
7340101,Quản trị kinh doanh,A00; A01; D01; C04,15,,2023.0,DCA,Đại Học Chu Văn An
7380107,Luật Kinh tế,A00; A01; D01; C00,15,,2023.0,DCA,Đại Học Chu Văn An
7480201,Công nghệ thòng tin,A00; A01; D01; C04,17,,2023.0,DCA,Đại Học Chu Văn An
7520201,Kỹ thuật điện,A00; A01; D01; C04,17,,2023.0,DCA,Đại Học Chu Văn An
7580101,Kiến trúc,V00; V01; V02; V03,15,,2023.0,DCA,Đại Học Chu Văn An
7580201,Kỹ thuật xây dựng,A00; A01; D01; C04,15,,2023.0,DCA,Đại Học Chu Văn An
7220201,Ngôn ngữ Anh,D01; A01; D14; D10,15,,2023.0,DCA,Đại Học Chu Văn An
7340101,Quản trị kinh doanh,A00; D01; C00; C14; C20,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7340201,Tài chính ngân hàng,A00; D01; C00; C14; C20,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7340301,Kế toán,A00; D01; C00; C14; C20,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7480201,Công nghệ thông tin,A00; A01; A02; A03; A04,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7520207,Kỹ thuật Điện tử Viễn thông,A00; A01; A02; A03; A04,16,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7580201,Kỹ thuật Xây dựng,A00; A01; A04; A06; D01,15.5,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7580205,Kỹ thuật xây dựng công trình giao thông,A00; A01; A04; A06; D01,15.5,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7580301,Kinh tế Xây dựng,A00; A01; A04; A06; D01,15,,2023.0,DBH,Đại Học Quốc Tế Bắc Hà
7480201,Công nghệ thông tin,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7340301,Kế toán,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7310101,Kinh tế,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7310109,Kinh tế số,A00; A01; B00; D01,20,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7620201,Lâm học,A00; A01; B00; D01,20,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7340115,Marketing,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7620101,Nông nghiệp (công nghệ cao),A00; A01; B00; D01,19,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7850103,Quản lý đất đai,A00; A01; B00; D01,19,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7340101,Quản trị kinh doanh,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7340201,Tài chính ngân hàng,A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7640101,Thú y (Bác sĩ thú y),A00; A01; B00; D01,18,,2023.0,CEA,Đại học Kinh Tế Nghệ An
7520207,Kỹ thuật Điện tử viễn thông,A00; A01,21.9,TTNV <= 9,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00; A01,18.15,TTNV <= 3,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7520216,Kỹ thuật Điều khiển và tự động hóa,A00; A01,18,TTNV = 1,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7520208,Công nghệ Inernet vạn vật,A00; A01,21.7,TTNV = 1,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7480201,Công nghệ thông tin,A00; A01,25.1,TTNV <= 10,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7480202,An toàn thông tin,A00; A01,24.44,TTNV <= 17,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7329001,Công nghệ đa phương tiện,A00; A01; D01,24.05,TTNV = 1,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7340101,Quản trị kinh doanh,A00; A01; D01,22.8,TTNV <= 16,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7340115,Marketing,A00; A01; D01,24.1,TTNV <= 7,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7340301,Kế toán,A00; A01; D01,20,TTNV = 1,2023.0,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,19.61,Nam; Vùng 4,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,22.8,Nữ; Vùng 4,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,20.45,Nam; Vùng 5,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,23.07,Nữ; Vùng 5,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,17.95,Nam; Vùng 6,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,22.08,Nữ; Vùng 6,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,19.4,Nam; Vùng 7,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,22.84,Nữ; Vùng 7,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,19.71,Nam; Vùng 8,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ Cảnh sát,A00; A01; C03; D01,15.94,Nữ; Vùng 8,2023.0,CSS,Đại Học Cảnh Sát Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,20.6,"Nam, Vùng 4",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,24.16,"Nữ, Vùng 4",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,20.45,"Nam, Vùng 5",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,24.14,"Nữ, Vùng 5",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,18.62,"Nam, Vùng 6",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,22.37,"Nữ, Vùng 6",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,21.14,"Nam, Vùng 7",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,23.66,"Nữ, Vùng 7",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,19.2,"Nam, Vùng 8",2023.0,ANS,Đại Học An Ninh Nhân Dân
7860100,Nghiệp vụ An ninh,A00; A01; C03; D01,18.1,"Nữ, Vùng 8",2023.0,ANS,Đại Học An Ninh Nhân Dân
7480201,Công nghệ thông tin,A00; A01; D07; D90,15,,2023.0,DBL,Đại Học Bạc Liêu
7340101,Quản trị kinh doanh,A00; A01; D01; D90,16,,2023.0,DBL,Đại Học Bạc Liêu
7340301,Kế toán,A00; A01; D01; D90,16,,2023.0,DBL,Đại Học Bạc Liêu
7340201,Tài chính - Ngân hàng,A00; A01; D01; D90,16,,2023.0,DBL,Đại Học Bạc Liêu
7220101,Tiếng Việt và văn hóa Việt Nam,C00; C03; D01; D78,15,,2023.0,DBL,Đại Học Bạc Liêu
7220201,Ngôn ngữ Anh,D01; D09; D14; D78,15,,2023.0,DBL,Đại Học Bạc Liêu
7620301,Nuôi trồng thủy sản,A00; B00; D07; D90,15,,2023.0,DBL,Đại Học Bạc Liêu
7620105,Chăn nuôi,A00; B00; D07; D90,15,,2023.0,DBL,Đại Học Bạc Liêu
7620112,Bảo vệ thực vật,A00; B00; D07; D90,15,,2023.0,DBL,Đại Học Bạc Liêu
7440301,Khoa học môi trường,A00; B00; D07; D90,15,,2023.0,DBL,Đại Học Bạc Liêu
7860214,Ngành Biên phòng,A01,23.86,TS nam miền Bắc,2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,A01,20.45,TS nam Quân khu 4 (Quảng Trị và TT Huế),2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,A01,21.95,TS nam Quân khu 5,2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,A01,23.09,TS nam Quân khu 7,2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,A01,21.25,TS nam Quân khu 9,2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,C00,26.99,TS nam miền Bắc,2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,C00,22.75,TS nam Quân khu 4 (Quảng Trị và TT Huế),2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,C00,25.57,TS nam Quân khu 5,2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,C00,24.87,TS nam Quân khu 7,2023.0,BPH,Học Viện Biên Phòng
7860214,Ngành Biên phòng,C00,25.75,TS nam Quân khu 9,2023.0,BPH,Học Viện Biên Phòng
7380101,Ngành Luật,C00,27.47,TS nam miền Bắc,2023.0,BPH,Học Viện Biên Phòng
7380101,Ngành Luật,C00,25.5,TS nam miền Nam,2023.0,BPH,Học Viện Biên Phòng
7340301,Kế toán,A00; A01; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7310101,Kinh tế,A00; A01; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7620110,Khoa học cây trồng,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7620112,Bảo vệ thực vật,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7620105,Chăn nuôi,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7640101,Thú y,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7850103,Quản lý đất đai,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7850101,Quản lý tài nguyên và môi trường,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7540101,Công nghệ thực phẩm,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7540106,Đảm bảo chất lượng và ATTP,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7620211,Quản lý tài nguyên rừng,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7220204,Ngôn ngữ Trung Quốc,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7340122,Thương mại điện tử,A00; A01; C01; D01; D02; D04; D06,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7510205,Công nghệ kỹ thuật ô tô,A00; A01; B00; D01,15,,2023.0,DBG,Đại học Nông Lâm Bắc Giang
7520207,Kỹ thuật Điện tử viễn thông,A00; A01,25.68,TTNV = 1,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00; A01,25.01,TTNV = 1,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7520216,Kỹ thuật Điều khiển và tự động hóa,A00; A01,25.4,TTNV <= 3,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7480201,Công nghệ thông tin,A00; A01,26.59,TTNV = 1,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7480202,An toàn thông tin,A00; A01,26.04,TTNV <= 3,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7480101,Khoa học máy tính (định hướng Khoa học dữ liệu),A00; A01,26.55,TTNV <= 4,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
