Mã nhóm ngành,Nhóm ngành,Mã phân ngành,Phân ngành,Mã xét tuyển,Tên Ngành
731,Khoa học xã hội và hành vi,73102,Khoa học chính trị,7310201A,Chính trị học
731,Khoa học xã hội và hành vi,73102,Khoa học chính trị,530,Chính trị học
731,Khoa học xã hội và hành vi,73102,Khoa học chính trị,535,Chính trị học
731,Khoa học xã hội và hành vi,73102,Khoa học chính trị,7310201B,Chính trị học
731,Khoa học xã hội và hành vi,73102,Khoa học chính trị,7310201,Chính trị học
762,"Nông, lâm nghiệp và thủy sản",76201,Nông nghiệp,7620110,Chăn nuôi
762,"Nông, lâm nghiệp và thủy sản",76201,Nông nghiệp,7620105P,Chăn nuôi
762,"Nông, lâm nghiệp và thủy sản",76201,Nông nghiệp,HVN03,Chăn nuôi
762,"Nông, lâm nghiệp và thủy sản",76201,Nông nghiệp,7620105,Chăn nuôi
762,"Nông, lâm nghiệp và thủy sản",76201,Nông nghiệp,7620105LT,Chăn nuôi
762,"Nông, lâm nghiệp và thủy sản",76201,Nông nghiệp,7620106,Chăn nuôi
734,Kinh doanh và quản lý,73401,Kinh doanh,7340101_02,Chương trình Cử nhân tài năng
734,Kinh doanh và quản lý,73401,Kinh doanh,7340101_ISB,Chương trình Cử nhân tài năng
748,Máy tính và công nghệ thông tin,74801,Máy tính,PFIEV,Chương trình tiên tiến ngành Hệ thống nhúng
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480118VM,Chương trình tiên tiến ngành Hệ thống nhúng
790,Khác,-,-,PFIEV,Chương trình đào tạo kỹ sư chất lượng cao Việt-Pháp
786,"An ninh, Quốc phòng",78602,Quân sự,7860228,Chỉ huy kỹ thuật Công binh
786,"An ninh, Quốc phòng",78602,Quân sự,7860229,Chỉ huy kỹ thuật Hoá học
786,"An ninh, Quốc phòng",78602,Quân sự,7860226,Chỉ huy kỹ thuật Phòng không
786,"An ninh, Quốc phòng",78602,Quân sự,7860202,Chỉ huy tham mưu Hải quân
786,"An ninh, Quốc phòng",78602,Quân sự,7860203,Chỉ huy tham mưu Không quân
786,"An ninh, Quốc phòng",78602,Quân sự,7860205,Chỉ huy tham mưu Pháo binh
786,"An ninh, Quốc phòng",78602,Quân sự,7860226,Chỉ huy tham mưu Phòng không-không quân
786,"An ninh, Quốc phòng",78602,Quân sự,7860206,Chỉ huy tham mưu Tăng - Thiết giáp
786,"An ninh, Quốc phòng",78602,Quân sự,7860201,Chỉ huy tham mưu lục quân
786,"An ninh, Quốc phòng",78602,Quân sự,7860221,Chỉ huy tham mưu thông tin
786,"An ninh, Quốc phòng",78602,Quân sự,7860220,Chỉ huy tham mưu thông tin
786,"An ninh, Quốc phòng",78602,Quân sự,7860207,Chỉ huy tham mưu Đặc công
722,Nhân văn,72290,Nhân văn - Khác,7229008,Chủ nghĩa xã hội khoa học
790,Khác,-,-,POHE,Các chương trình định hướng ứng dụng
786,"An ninh, Quốc phòng",78601,An ninh và trật tự xã hội,7860113,Công an
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510103,Công nghệ Kỹ thuật Xây dựng
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510202,Công nghệ chế tạo máy
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510105,Công nghệ kỹ thuật vật liệu xây dựng
752,Kỹ thuật,75201,Kỹ thuật cơ khí và cơ kỹ thuật,CN7,Công nghệ Hàng không vũ trụ
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GHA-12,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
752,Kỹ thuật,75201,Kỹ thuật cơ khí và cơ kỹ thuật,HE1,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510206,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
752,Kỹ thuật,75201,Kỹ thuật cơ khí và cơ kỹ thuật,7520115,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
752,Kỹ thuật,75201,Kỹ thuật cơ khí và cơ kỹ thuật,7520103D123,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,HE1y,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
752,Kỹ thuật,75201,Kỹ thuật cơ khí và cơ kỹ thuật,7520115CLC,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
752,Kỹ thuật,75201,Kỹ thuật cơ khí và cơ kỹ thuật,140,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510206C,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510206D,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510206A,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GHA-19,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh)
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480201,Công nghệ Thông tin và truyền thông
