url,university_code,university_name,province,region,admission_code,institution_type
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bach-khoa-dai-hoc-quoc-gia-tphcm/,VNUHCM-UT,UT - Đại Học Bách Khoa – Đại Học Quốc Gia TPHCM,Hồ Chí Minh,Miền Nam,QSB,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi/,VNU-HUS,HUS - Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia Hà Nội,Hà Nội,Miền Bắc,QHT,Công lập
https://huongnghiep.hocmai.vn/diem-truong/vien-nghien-cuu-va-dao-tao-viet-anh-dai-hoc-da-nang/,VNUK,Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,Đà Nẵng,Miền Trung - Tây Nguyên,DDV,Công lập
https://huongnghiep.hocmai.vn/diem-truong/khoa-cac-khoa-hoc-lien-nganh-dh-quoc-gia-ha-noi/,VNU-SIS,SIS - Khoa các khoa học liên ngành - ĐH Quốc gia Hà Nội,Hà Nội,Miền Bắc,QHK,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi/,VNU-USSH,USSH - Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia Hà Nội,Hà Nội,Miền Bắc,QHX,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-an-ninh-nhan-dan/,VPSU,Đại Học An Ninh Nhân Dân,Hồ Chí Minh,Miền Nam,ANS,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vo-truong-toan/,VTTU,Đại Học Võ Trường Toản,Hậu Giang,Miền Nam,VTT,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-vinh/,VU,Đại Học Vinh,Nghệ An,Miền Trung - Tây Nguyên,TDV,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-my-thuat-viet-nam/,VUFA,Đại Học Mỹ Thuật Việt Nam,Hà Nội,Miền Bắc,MTH,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-viet-tri/,VUI,Đại Học Công Nghiệp Việt Trì,Phú Thọ,Miền Bắc,VUI,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-vinh/,VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,Nghệ An,Miền Trung - Tây Nguyên,SKV,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-y-duoc-hoc-co-truyen-viet-nam/,VUTM,Học Viện Y Dược Học Cổ Truyền Việt Nam,Hà Nội,Miền Bắc,HYD,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-phu-nu-viet-nam/,VWA,Học Viện Phụ Nữ Việt Nam,Hà Nội,Miền Bắc,HPN,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-van-xuan/,VXUT,Đại Học Công Nghệ Vạn Xuân,Nghệ An,Miền Trung - Tây Nguyên,DVX,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-thanh-thieu-nien-viet-nam/,VYA,Học Viện Thanh Thiếu Niên Việt Nam,Hà Nội,Miền Bắc,HTN,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-yersin-da-lat/,YU,Đại Học Yersin Đà Lạt,Đà Lạt,Miền Trung - Tây Nguyên,DYD,Dân lập
