Mã nhóm ngành,Mã ngành,
7420202,BF-E19,
7440102,FSP1,
7440102,T140211,
7440102,QHT03,
7440112,CH2y,
7440112,QHT06,
7440112,QHT41,
7440112,CH2,
7440122,QHT04,
7440201,QHT18,
7440217,QHT10,
7440222,QHT16,
7440224,TLA103,
7440228,QHT17,
7440301,ENV1,
7440301,HVN15,
7440301,QHT13,
7440301,QHT45,
7460101,QHT01,
7460108,QHT93,
7460108,Tốt nghiệp THPT,
7460108,146,
7460108,EP03,
7460117,MI1y,
7460117,QHT02,
7460117,MI1,
7480101,F7480101,
7480101,FA7480101,
7480101,ICT-AT,
7480101,ICT-TN,
7480101,K7480101T,
7480101,TROY-ITy,
7480101,XDA17,
7480101,XDA28,
7480101,106,
7480101,206,
7480101,266,
7480101,IT1,
7480101,IT-LTUx,
7480101,IT-VUW,
7480101,IT-VUWx,
7480101,TROY-IT,
7480102,CN15,
7480102,GTADCTM2,
7480102,GTADCTM221,
7480103,D118,
7480103,F7480103,
7480103,FA7480103,
7480103,ICT2,
7480103,N7480103,
7480103,TLA117,
7480104,CM14,
7480104,CN14,
7480104,GTADCHT221,
7480104,IT-GINP,
7480104,TLA116,
7480106,CN2,
7480106,IT2y,
7480106,CN2,
7480106,CN17,
7480106,QHQ04,
7480106,107,
7480106,207,
7480106,IT2,
7480107,ICT-AI,
7480107,TLA126,
7480107,EEE-A1,
7480107,EEE-AI,
7480107,CN12,
7480107,MSE-AI,
7480107,MSE1,
7480109,IT-E10,
7480201,CN1,
7480201,CN16,
7480201,D114,
7480201,GSA-06,
7480201,GTADCTG2,
7480201,GTADCTT1,
7480201,GTADCTT121,
7480201,GTADCTT2,
7480201,GTADCTT221,
7480201,H114,
7480201,ICT1,
7480201,ICT-VJ,
7480201,IT-E6y,
7480201,IT-LTU,
7480201,K7480101L,
7480201,TLA106,
7480201,TLS106,
7480201,XDA16,
7480201,IT01,
7480201,IT-E6,
7480201,IT-E7,
7480201,IT-EP,
7480202,TLA127,
7480202,IT-E15,
7510102,GTADCCD1,
7510102,GTADCCD3,
7510102,GTADCDD1,
7510102,GTADCDD121,
7510102,GTADCDD2,
7510102,GTADCDD221,
7510102,GTADCDD321,
7510102,D112,
7510103,CN5,
7510103,TLA111,
7510103,TLS111,
7510104,GTADCCD121,
7510104,GTADCCD2,
7510104,GTADCCD221,
7510104,GTADCCD321,
7510104,GTADCCH2,
7510104,GTADCCH221,
7510104,D103,
7510105,131,
7510201,GTADCCK2,
7510201,GTADCCM1,
7510201,GTADCCM121,
7510201,GTADCCM2,
7510201,GTADCCM221,
7510201,GTADCDM2,
7510201,GTADCDM221,
7510201,GTADCMT2,
7510201,GTADCMT221,
7510201,GTADCMX2,
7510201,GTADCMX221,
7510202,TLA122,
7510203,CN6,
7510203,GTADCCN2,
7510203,GTADCCN221,
7510203,GTADCCO2,
7510203,GTADCCO221,
7510205,GTADCOG2,
7510205,GTADCOT1,
7510205,GTADCOT121,
7510205,GTADCOT2,
7510205,GTADCOT221,
7510205,GTADCOT3,
7510205,GTADCOT321,
7510206,HE1y,
7510211,141,
7510211,441,
7510301,K7520201,
7510302,CN9,
7510302,GTADCDT1,
7510302,GTADCDT121,
7510302,GTADCDT2,
7510302,GTADCDT221,
7510302,D104,
7510302,ET-E4y,
7510302,ET-LUHy,
7510303,D121,
7510303,QHQ08,
7510401,QHT07,
7510401,QHT42,
7510401,D126,
7510402,MS3,
7510402,MSE1,
7510406,GTADCMN2,
7510406,GTADCMN221,
7510406,QHT15,
7510406,QHT46,
7510406,CN13,
7510407,QHT05,
7510601,EM2y,
7510601,EM-NU,
7510601,D131,
7510601,123,
7510601,223,
7510601,EM2,
7510604,EM1y,
7510604,EM1,
7510605,GTADCHL,
7510605,GTADCHL2,
7510605,D407,
7510605,EM-E14y,
7510605,FBE7,
7510605,GTADCLG1,
7510605,GTADCLG121,
7510605,GTADCLG2,
7510605,GTADCLG221,
7510605,GTADCLH2,
7510605,GTADCLH221,
7510605,TLA407,
7510605,TLS407,
7510605,TM06,
7510605,XDA26,
7510605,GTADCVL2,
7510605,228,
7510605,EM-E14,
7510605,EM-E14y,
7510605,EP14,
7510605,IB02,
7520101,CN4,
7520101,138,
7520101,268,
7520103,ME-GUy,
7520103,D116,
7520103,ME2y,
7520103,MEM2,
7520103,TE2y,
7520103,TLA105,
7520103,XDA18,
7520103,XDA19,
7520103,XDA20,
7520103,XDA21,
7520103,XDA22,
7520103,109,
7520103,209,
7520103,ME2,
7520103,ME-GU,
7520114,ME-LUHy,
7520114,ME-NUTy,
7520114,D117,
7520114,ME1y,
7520114,ME-E1y,
7520114,MEM1,
7520114,TLA120,
7520114,110,
7520114,210,
7520114,211,
7520114,410,
7520114,ME1,
7520114,ME-E1,
7520114,ME-LUH,
7520114,ME-NUT,
7520115,D123,
7520115,140,
7520115,HE1,
7520116,TE2,
7520118,D105,
7520118,H105,
7520118,128,
7520120,TE-EPy,
7520120,CN7,
7520120,TE3y,
7520120,245,
7520120,144,
7520120,TE3,
7520120,TE-EP,
7520122,D102,
7520122,S102,
7520122,TE4,
7520122,D106,
7520122,145,
7520122,143,
7520130,D122,
7520130,TE1y,
7520130,TE-E2y,
7520130,TLA123,
7520130,VEE1,
7520130,VEE2,
7520130,142,
7520130,242,
7520130,TE1,
7520130,TE-E2,
7520137,CH3y,
7520137,CH3,
7520138,D111,
7520201,EE1y,
7520201,F7520201,
7520201,GSA-03,
7520201,TLA112,
7520201,208,
7520201,408,
7520201,448,
7520201,EE1,
7520201,EE-E18,
7520207,EEE3,
7520207,ET1y,
7520207,F7520207,
7520207,GSA-04,
7520207,TLA124,
7520207,QHT94,
7520207,MS2,
7520207,108,
7520207,ET1,
7520207,ET-E4,
7520207,ET-E9,
7520207,ET-LUH,
7520209,ET-E1,
7520209,ET-E16,
7520212,EEE2,
7520212,ET2y,
7520212,ET-E5y,
7520212,ET2,
7520212,ET-E5,
7520216,EE-E8y,
7520216,CN11,
7520216,EEE1,
7520216,F7520216,
7520216,FA7520216,
7520216,GSA-05,
7520216,TLA121,
7520216,TLA128,
7520216,D128,
7520216,D109,
7520216,EE2,
7520216,EE-E8,
7520216,EE-EP,
7520301,CH1y,
7520301,CHE1,
7520301,F7520301,
7520301,TLA118,
7520301,214,
7520301,CH1,
7520301,CH-E11,
7520309,MS-E3y,
7520309,MS1y,
7520309,129,
7520309,229,
7520309,MS1,
7520309,MS-E3,
7520312,TX1y,
7520312,112,
7520320,D115,
7520320,EV1y,
7520320,TLA109,
7520320,125,
7520320,241,
7520320,EV1,
7520401,CN3,
7520401,PH1y,
7520401,137,
7520401,237,
7520401,PH1,
7520402,PH2,
7520403,PH3,
7520501,QHT19,
7520501,120,
7520503,TLA115,
7520503,130,
7520604,220,
7540101,QHT96,
7540101,219,
7540101,419,
7540102,BF2y,
7540102,BF2,
7540102,BF-E12,
7540102,BF-E12y,
7540204,TX2,
7540204,TX1,
7580101,F7580101,
7580101,117,
7580101,217,
7580103,GTADCKN2,
7580103,D127,
7580106,QHT95,
7580106,GTADCXQ2,
7580106,TLA110,
7580201,CN8,
7580201,F7580201,
7580201,FA7580201,
7580201,GSA-11,
7580201,K7580201,
7580201,TLA101,
7580201,TLA104,
7580201,TLA108,
7580201,TLA113,
7580201,TLA201,
7580201,TLS104,
7580201,XDA27,
7580201,115,
7580201,215,
7580201,415,
7580201,445,
7580201,446,
7580202,D110,
7580202,TLS101,
7580205,D113,
7580205,GTADCTQ2,
7580205,TLS113,
7580210,TLA110,
7580211,147,
7580213,TLA107,
7580213,TLS107,
7580213,TLS405,
7580301,GTADCKX121,
7580301,GTADCKX2,
7580301,GTADCKX221,
7580301,GTADCKX321,
7580301,TLA404,
7580301,XDA23,
7580301,XDA23,
7580301,148,
7580302,D130,
7580302,GSA-15,
7580302,GSA-16,
7580302,GTADCQX2,
7580302,GTADCQX221,
7580302,TLA114,
7580302,XDA24,
7580302,XDA25,
7580302,XDA29,
7620101,CN10,
7620101,HVN18,
7620103,QHT14,
7620105,HVN03,
7620113,HVN06,
7640101,HVN23,
7720101,MED1,
7720201,PHA1,
7720203,QHT43,
7720203,CH-E11y,
7720301,NUR1,
7720501,DEN1,
7720601,MTT1,
7720603,RET1,
7760101,QHX03,
7810101,FTS1,
7810101,FTS3,
7810101,FTS4,
7810103,Học bạ,
7810103,MHX15,
7810103,QHX15,
7810103,TLA406,
7810103,TM25,
7810103,TM32,
7810103,BUS03,
7810103,POHE2,
7810201,FTS2,
7810201,QHX16,
7810201,TM24,
7810201,TM31,
7810201,TM34,
7810201,EP11,
7810201,POHE1,
7810202,1780202,
7810202,523,
7840101,GSA-13,
7840101,GTADCVL221,
7850101,QHT82,
7850101,EV2y,
7850101,QHT20,
7850101,QHT92,
7850101,225,
7850101,425,
7850101,EV2,
7850103,QHT12,
7340120,IB01,
7340120,IB03,
,,
