university_code,university_name,major_code,major_name,subject_group,point,note,year
UTC2,Đại Học Giao Thông Vận Tải (Cơ sở Phía Nam),GSA-04,Kỹ thuật điện tử - viễn thông,"A00, A01, D07",15.35,Gồm các chuyên ngành: Kỹ thuật viễn thông; Điện tử và tin học công nghiệpTiêu chí phụ Toán 6.6 Thứ tự nguyện vọng <=9,2018
UTC2,Đại Học Giao Thông Vận Tải (Cơ sở Phía Nam),GSA-05,Kỹ thuật điều khiển và tự động hoá,"A00, A01, D07",16.35,gồm các chuyên ngành: Tự động hóa; Giao thông thông minh - ITSTiêu chí phụ Toán 6.6 Thứ tự nguyện vọng <=1,2018
UTC,Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),GHA-18,Kỹ thuật xây dựng,"A00, A01",14,gồm các chuyên ngành: Xây dựng dân dụng và công nghiệp; Kết cấu xây dựng; Kỹ thuật hạ tầng đô thị; Vật liệu và công nghệ xây dựngTiêu chí phụ Toán 5 Thứ tự nguyện vọng <=3,2018
UTC,Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),GHA-15,Kỹ thuật xây dựng,"A00, A01, D01, D07",15,Gồm các chuyên ngành: Xây dựng dân dụng và công nghiệp; Kết cấu xây dựng; Kỹ thuật hạ tầng đô thị; Vật liệu và công nghệ xây dựngTiêu chí phụ Toán 6 Thứ tự nguyện vọng <=2,2018
UTC2,Đại Học Giao Thông Vận Tải (Cơ sở Phía Nam),GSA-11,Kỹ thuật xây dựng,"A00, A01, D07",15.8,Gồm các chuyên ngành: Xây dựng dân dụng và công nghiệp; Kỹ thuật hạ tầng đô thịTiêu chí phụ Toán 5.8 Thứ tự nguyện vọng <=1,2018
DTHU,Đại Học Đồng Tháp,51140221,Sư phạm Âm nhạc,"N00, N01",16.5,Hát nhân 2 (Điểm chuẩn học bạ lấy 16 điểm)Hệ cao đẳng,2018
DTHU,Đại Học Đồng Tháp,7140221,Sư phạm Âm nhạc,"N00, N01",19.56,Hát nhân 2 (Điểm chuẩn học bạ lấy 19.5 điểm),2018
SFL,Trường Ngoại Ngữ – Đại Học Thái Nguyên,51140231,Sư phạm Tiếng Anh,"A01, D01, D15, D66",15,Hệ cao đẳng,2018
PDU,Đại Học Phạm Văn Đồng,51140201,Giáo dục Mầm non,M00,15,Hệ cao đẳng,2018
PDU,Đại Học Phạm Văn Đồng,51140210,Sư phạm Tin học,"A00, A01, D01, D72",15,Hệ cao đẳng,2018
PDU,Đại Học Phạm Văn Đồng,51140211,Sư phạm Vật lý,"A00, A01, D90",15,Hệ cao đẳng,2018
PDU,Đại Học Phạm Văn Đồng,51140212,Sư phạm Hóa học,"A00, B00, D90",15,Hệ cao đẳng,2018
PDU,Đại Học Phạm Văn Đồng,51140217,Sư phạm Ngữ văn,"C00, D78",15,Hệ cao đẳng,2018
PDU,Đại Học Phạm Văn Đồng,51140219,Sư phạm Địa lý,"C00, D78",15,Hệ cao đẳng,2018
PDU,Đại Học Phạm Văn Đồng,51140231,Sư phạm Tiếng Anh,"D01, D96, D72",15,Hệ cao đẳng,2018
DNU,Đại Học Đồng Nai,51140202,Giáo dục Tiểu học,"A00, A01, D01, C00",15.5,hệ cao đẳng,2018
DNU,Đại Học Đồng Nai,51140206,Giáo dục Thể chất,"T00, T04",0,hệ cao đẳng,2018
DNU,Đại Học Đồng Nai,51140210,Sư phạm Tin học,"A00, A01, D01",17.25,Hệ cao đẳng,2018
DNU,Đại Học Đồng Nai,51140221,Sư phạm Âm nhạc,"N00, N01",0,Hệ cao đẳng,2018
DNU,Đại Học Đồng Nai,51140222,Sư phạm Mỹ thuật,H00,0,Hệ cao đẳng,2018
HĐU,Đại Học Hồng Đức,5140218,Sư phạm Lịch sử,"C00, D14, C03",15,Hệ Cao đẳngĐiểm chuẩn học bạ lấy 15 điểm và Học lực lớp 12 khá trở lên,2018
HTU,Đại Học Hà Tĩnh,51140202,Giáo dục Tiểu học,"D01, C20, C03, C01",15,"Hệ cao đẳngĐiểm chuẩn học bạ: Có học lực lớp 12 xếp loại Khá, tổng điểm 3 môn theo tổ hợp từ 18 điểm trở lên",2018
DNU,Đại Học Đồng Nai,51140231,Sư phạm Tiếng Anh,"A01, D01",15,Hệ cao đẳngĐiểm tiếng Anh nhân 2 và được quy về thang điểm 30,2018
BLU,Đại Học Bạc Liêu,51140202,Giáo dục Tiểu học,"D01, C00, C15, D78",22,Hệ cao đẳngXét học bạ lấy 19 điểm,2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (phía Nam),7860113,Công an,A00,13.75,hệ chính quy (Nam phía Bắc)Tổng điểm 03 môn: 23.75,2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (Phía Bắc),7860113,Công an,A00,13.75,hệ chính quy (Nam phía Bắc)Tổng điểm 03 môn: 23.75,2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (Hệ Dân sự Phía Nam),7860113,Công an,A00,13.75,hệ chính quy (Nam phía Bắc)Tổng điểm 03 môn: 23.75,2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (phía Nam),7860113,Công an,A00,23.65,hệ chính quy (Nam phía Nam)Tổng điểm 03 môn: 20.9; môn Toán 7.4,2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (Phía Bắc),7860113,Công an,A00,23.65,hệ chính quy (Nam phía Nam)Tổng điểm 03 môn: 20.9; môn Toán 7.4,2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (Hệ Dân sự Phía Nam),7860113,Công an,A00,23.65,hệ chính quy (Nam phía Nam)Tổng điểm 03 môn: 20.9; môn Toán 7.4,2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (phía Nam),7860113,Công an,A00,24.4,hệ chính quy (Nữ phía Bắc),2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (Phía Bắc),7860113,Công an,A00,24.4,hệ chính quy (Nữ phía Bắc),2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (Hệ Dân sự Phía Nam),7860113,Công an,A00,24.4,hệ chính quy (Nữ phía Bắc),2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (phía Nam),7860113,Công an,A00,22.95,hệ chính quy (Nữ phía Nam),2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (Phía Bắc),7860113,Công an,A00,22.95,hệ chính quy (Nữ phía Nam),2018
PCCC,Đại Học Phòng Cháy Chữa Cháy (Hệ Dân sự Phía Nam),7860113,Công an,A00,22.95,hệ chính quy (Nữ phía Nam),2018
HĐU,Đại Học Hồng Đức,7140218,Sư phạm Lịch sử,"C00, D14, C03",21.5,Hệ Đại học,2018
MTA,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,7480101,Kỹ thuật xây dựng,"A00, A01",20,Hệ dân sự,2018
MTA,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,7480201,Công nghệ thông tin,"A00, A01",21.7,Hệ dân sự,2018
MTA,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,7520114,Kỹ thuật cơ điện tử,"A00, A01",19.1,Hệ dân sự,2018
MTA,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,7520207,Kỹ thuật điện tử - viễn thông,"A00, A01",18.1,Hệ dân sự,2018
