university_code,university_name,major_code,major_name,subject_group,point,note,year
ACT,Học Viện Kỹ Thuật Mật Mã,7520207,Kỹ thuật điện tử - viễn thông,"A00, A01, D90",24.25,,2020
ACT,Học Viện Kỹ Thuật Mật Mã,7480202,An toàn thông tin,"A00, A01, D90",24.9,,2020
ACT,Học Viện Kỹ Thuật Mật Mã,7480201,Công nghệ thông tin,"A00, A01, D90",25.8,,2020
ADAFA,Học Viện Phòng Không – Không Quân,7860226,Chỉ huy kỹ thuật Phòng không,"A00, A01",22.9,Thí sinh Nam miền Nam,2020
ADAFA,Học Viện Phòng Không – Không Quân,7520120,Kỹ thuật Hàng không,"A00, A01",22.9,Thí sinh Nam miền Nam,2020
ADAFA,Học Viện Phòng Không – Không Quân,7860226,Chỉ huy kỹ thuật Phòng không,"A00, A01",24.4,Thí sinh Nam miền Bắc,2020
ADAFA,Học Viện Phòng Không – Không Quân,7520120,Kỹ thuật Hàng không,"A00, A01",25.85,Thí sinh Nam miền Bắc,2020
AFOC,Trường Sĩ Quan Không Quân - Hệ Đại học,7860203,Chỉ huy tham mưu Không quân,"A00, A01",17,Thí sinh Nam (toàn quốc),2020
AJC,Học Viện Báo Chí – Tuyên Truyền,536,Chính trị học,XDHB,6.5,CN Chính sách côngXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7229008,Chủ nghĩa xã hội khoa học,XDHB,6.5,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,530,Chính trị học,XDHB,7,CN Quản lý hoạt động tư tưởng và văn hóaXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,538,Chính trị học,XDHB,7,CN Truyền thông chính sáchXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,533,Chính trị học,XDHB,7,Tư tưởng HCMXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,531,Chính trị học,XDHB,7,CN Chính trị học phát triểnXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,532,Quản lý nhà nước,"C15, XDHB",7,CN Quản lý xã hộiXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,535,Chính trị học,XDHB,7,CN Văn hóa phát triểnXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7310202,Xây dựng Đảng và chính quyền nhà nước,XDHB,7,Xét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7229001,Triết học,XDHB,7,Xét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,603,Báo chí,XDHB,7.04,Ảnh báo chí,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,609,Báo chí,XDHB,7.19,Báo mạng điện tử CLC,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,608,Báo chí,XDHB,7.61,Báo truyền hình CLC,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,602,Báo chí,XDHB,7.7,Báo in,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,604,Báo chí,XDHB,7.86,Báo phát thanh,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,607,Báo chí,XDHB,8.02,Báo mạng điện tử,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7760101,Công tác xã hội,XDHB,8.1,Xét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7340403,Quản lý công,XDHB,8.1,Xét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,605,Báo chí,XDHB,8.17,Báo truyền hình,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,528,Kinh tế,XDHB,8.2,CN Quản lý kinh tế CLCXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7310102,Kinh tế,XDHB,8.2,Kinh tế chính trịXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,802,Xuất bản,XDHB,8.4,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,529,Kinh tế,XDHB,8.4,CN Kinh tế và quản lýXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7310301,Xã hội học,XDHB,8.4,Xét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,527,Kinh tế,XDHB,8.57,Chuyên ngành quản lý kinh tếXét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,801,Xuất bản,XDHB,8.6,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7229010,Lịch sử,XDHB,8.6,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7320110,Quảng cáo,XDHB,8.85,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,610,Quan hệ quốc tế,XDHB,8.9,Thông tin đối ngoại,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7220201,Ngôn ngữ Anh,XDHB,9,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7320105,Truyền thông đại chúng,XDHB,9.05,Xét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7320107,Truyền thông quốc tế,XDHB,9.2,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,615,Quan hệ công chúng,XDHB,9.25,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7320104,Truyền thông đa phương tiện,XDHB,9.27,Xét học bạ,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,533,Chính trị học,"D01, C15, A16, R22",16,Chuyên ngành Tư tưởng Hồ Chí Minh,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,531,Chính trị học,"D01, C15, A16, R22",16.5,Chính trị học phát triển,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,536,Chính trị học,"D01, C15, A16, R22",18.15,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,530,Chính trị học,"D01, C15, A16, R22",18.7,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7229008,Chủ nghĩa xã hội khoa học,"D01, C15, A16, R22",19.25,Điểm TN,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,535,Chính trị học,"D01, C15, A16, R22",19.35,Chuyên ngành Văn hóa phát triển,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7229001,Triết học,"D01, C15, A16, R22",19.65,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7310202,Xây dựng Đảng và chính quyền nhà nước,A16,21.05,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7310202,Xây dựng Đảng và chính quyền nhà nước,"D01, R22",21.3,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,528,Kinh tế,A16,21.7,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,537,Quản lý nhà nước,"D01, C15, A16, R22",21.72,Quản lý hành chính nhà nước,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,532,Quản lý nhà nước,"D01, C15, A16, R22",21.9,Quản lý xã hội,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,606,Báo chí,"R13, R11",22,Quay phim truyền hình,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7310202,Xây dựng Đảng và chính quyền nhà nước,C15,22.05,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,538,Chính trị học,"D01, C15, A16, R22",22.15,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,606,Báo chí,R18,22.25,Quay phim truyền hình,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,606,Báo chí,"R21, R12",22.25,Quay phim truyền hình,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7760101,Công tác xã hội,A16,22.56,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,529,Kinh tế,A16,22.65,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7310102,Kinh tế,A16,22.7,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7340403,Quản lý công,"D01, R22",22.77,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7340403,Quản lý công,A16,22.77,,2020
AJC,Học Viện Báo Chí – Tuyên Truyền,7340403,Quản lý công,C15,22.77,,2020
