university_code,university_name,major_code,major_name,subject_group,point,note,year
YU,Đại Học Yersin Đà Lạt,7810103,Quản trị dịch vụ du lịch và lữ hành,"A00, C00, D01, D15",14,,2019
YU,Đại Học Yersin Đà Lạt,7440301,Khoa học môi trường,"A00, A01, B00, D01",14,,2019
YU,Đại Học Yersin Đà Lạt,7580108,Thiết kế nội thất,"H00, H01, V00, V01",14,,2019
YU,Đại Học Yersin Đà Lạt,7340101,Quản trị kinh doanh,"A00, A01, C00, D01",14,,2019
YU,Đại Học Yersin Đà Lạt,7420201,Công nghệ sinh học,"A00, A01, B00, D01",14,,2019
YU,Đại Học Yersin Đà Lạt,7480201,Công nghệ thông tin,"A00, A01, D01",14,,2019
YU,Đại Học Yersin Đà Lạt,7220201,Ngôn ngữ Anh,"A01, D01, D14, D15",14,,2019
YU,Đại Học Yersin Đà Lạt,7580101,Kiến trúc,"H00, H01, V00, V01",14,,2019
YU,Đại Học Yersin Đà Lạt,7720301,Điều dưỡng,"A01, B00, D01, D08",18,,2019
YU,Đại Học Yersin Đà Lạt,7720201,Dược học,"A00, B00, C08, D07",20,,2019
VYA,Học Viện Thanh Thiếu Niên Việt Nam,7310202,Xây dựng Đảng và chính quyền nhà nước,"C00, C19, D01, D66",15,Điể trúng tuyển trên dành cho thí sinh khu vực 3 và không có điểm ưu tiên đối tượng,2019
VYA,Học Viện Thanh Thiếu Niên Việt Nam,7760102,Công tác thanh thiếu niên,"C00, C19, C20, D01",15,Điể trúng tuyển trên dành cho thí sinh khu vực 3 và không có điểm ưu tiên đối tượng,2019
VYA,Học Viện Thanh Thiếu Niên Việt Nam,7310205,Quản lý nhà nước,"A00, A01, C00, D01",15,Điể trúng tuyển trên dành cho thí sinh khu vực 3 và không có điểm ưu tiên đối tượng,2019
VYA,Học Viện Thanh Thiếu Niên Việt Nam,7320108,Quan hệ công chúng,"C00, D01, D10, D84",15,Điể trúng tuyển trên dành cho thí sinh khu vực 3 và không có điểm ưu tiên đối tượng,2019
VYA,Học Viện Thanh Thiếu Niên Việt Nam,7760101,Công tác xã hội,"C00, C14, D01, D15",15,Điể trúng tuyển trên dành cho thí sinh khu vực 3 và không có điểm ưu tiên đối tượng,2019
VYA,Học Viện Thanh Thiếu Niên Việt Nam,7380101,Luật,"A00, C00, D01, D66",16,Điể trúng tuyển trên dành cho thí sinh khu vực 3 và không có điểm ưu tiên đối tượng,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7810201,Quản trị khách sạn,"A00, A04, D01, D96",14,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7580201,Kỹ thuật xây dựng,"A00, A01, C01, D07",14,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7340101,Quản trị kinh doanh,"A00, A01, D01, D90",14,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7340201,Tài chính - Ngân hàng,"A00, A01, D01, D90",14,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7480201,Công nghệ thông tin,"A00, A01, A16, D90",14,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7420201,Công nghệ sinh học,"A00, A02, B00, D90",14,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7220201,Ngôn ngữ Anh,"A01, D01, D78, D90",14,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7340301,Kế toán,"A00, A01, D01, D90",14,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7810201,Quản trị khách sạn,"A00, A04, D01, D96",18,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7580201,Kỹ thuật xây dựng,"A00, A01, C01, D07",18,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7480201,Công nghệ thông tin,"A00, A01, A16, D90",18,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7420201,Công nghệ sinh học,"A00, A02, B00, D90",18,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7340201,Tài chính - Ngân hàng,"A00, A01, D01, D90",18,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7340101,Quản trị kinh doanh,"A00, A01, D01, D90",18,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7220201,Ngôn ngữ Anh,"A01, D01, D78, D90",18,,2019
VXUT,Đại Học Công Nghệ Vạn Xuân,7340301,Kế toán,"A00, A01, D01, D90",18,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7310399,Giới và phát triển,"A00, A01, C00, D01",14.5,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7760101,Công tác xã hội,"A00, A01, C00, D01",15,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7380101,Luật,"A00, A01, C00, D01",16,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7320104,Truyền thông đa phương tiện,"A00, D01, A01",16.5,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7320104,Truyền thông đa phương tiện,C00,17.5,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7340101,Quản trị kinh doanh,"A00, A01, D01",17.5,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7810103,Quản trị dịch vụ du lịch và lữ hành,"A00, A01, D01",18,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7320104,Truyền thông đa phương tiện,"A00, D01, V00",18,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7310399,Giới và phát triển,"A00, A01, C00, D01",18,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7340101,Quản trị kinh doanh,"A00, A01, D01",18,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7760101,Công tác xã hội,"A00, A01, C00, D01",18,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7380101,Luật,"A00, A01, C00, D01",18,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7340101,Quản trị kinh doanh,C00,18.5,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7810103,Quản trị dịch vụ du lịch và lữ hành,C00,19,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7320104,Truyền thông đa phương tiện,C00,19,,2019
VWA,Học Viện Phụ Nữ Việt Nam,7340101,Quản trị kinh doanh,C00,19,,2019
VUTM,Học Viện Y Dược Học Cổ Truyền Việt Nam,7720115,Y học cổ truyền,B00,20.55,"Sinh: 6, Toán: 7.8, TTNV <=1",2019
VUTM,Học Viện Y Dược Học Cổ Truyền Việt Nam,7720201,Dược học,A00,21.9,"Hóa: 7.25, Toán: 7.4, TTNV <= 2",2019
VUTM,Học Viện Y Dược Học Cổ Truyền Việt Nam,7720101,Y khoa,B00,23.25,"Sinh: 8.5, Toán: 8, TTNV<=2",2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7510302,Công nghệ kỹ thuật điện tử - viễn thông,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7510301,"Công nghệ kỹ thuật điện, điện tử","A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7480108,Công nghệ kỹ thuật máy tính,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7510201,Công nghệ kỹ thuật cơ khí,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7510205,Công nghệ kỹ thuật ô tô,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7510202,Công nghệ chế tạo máy,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7340404,Quản trị nhân lực,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7480201,Công nghệ thông tin,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7340101,Quản trị kinh doanh,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7340301,Kế toán,"A00, A01, B00, D01",14.5,,2019
VUTE,Đại Học Sư Phạm Kỹ Thuật Vinh,7140246,Sư phạm công nghệ,"A00, A01, B00, D01",18,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510301,"Công nghệ kỹ thuật điện, điện tử","A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510406,Công nghệ kỹ thuật môi trường,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510401,Công nghệ kỹ thuật hoá học,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510201,Công nghệ kỹ thuật cơ khí,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510205,Công nghệ kỹ thuật ô tô,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7420201,Công nghệ sinh học,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7480201,Công nghệ thông tin,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7340101,Quản trị kinh doanh,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7220201,Ngôn ngữ Anh,"A01, D01, D07, D14",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7440112,Hoá học,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7340301,Kế toán,"A00, A01, B00, D01",13.5,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510301,"Công nghệ kỹ thuật điện, điện tử","A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510406,Công nghệ kỹ thuật môi trường,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510401,Công nghệ kỹ thuật hoá học,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510201,Công nghệ kỹ thuật cơ khí,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7510205,Công nghệ kỹ thuật ô tô,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7480201,Công nghệ thông tin,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7420201,Công nghệ sinh học,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7340101,Quản trị kinh doanh,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7220201,Ngôn ngữ Anh,"A01, D01, D07, D14",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7440112,Hoá học,"A00, A01, B00, D01",15,,2019
VUI,Đại Học Công Nghiệp Việt Trì,7340301,Kế toán,"A00, A01, B00, D01",15,,2019
VUFA,Đại Học Mỹ Thuật Việt Nam,52210104,Đồ họa,"H01, H02, H03, H04, H05, H06, H07, H08",27.75,,2019
VUFA,Đại Học Mỹ Thuật Việt Nam,52210105,Điêu khắc,"H01, H02, H03, H04, H05, H06, H07, H08",28,,2019
VUFA,Đại Học Mỹ Thuật Việt Nam,52210403,Thiết kế đồ họa,"H01, H02, H03, H04, H05, H06, H07, H08",28.5,,2019
VUFA,Đại Học Mỹ Thuật Việt Nam,52140222,Sư phạm Mỹ thuật,"H01, H02, H03, H04, H05, H06, H07, H08",28.5,,2019
VUFA,Đại Học Mỹ Thuật Việt Nam,52210103,Hội hoạ,"H01, H02, H03, H04, H05, H06, H07, H08",29.75,,2019
VUFA,Đại Học Mỹ Thuật Việt Nam,52210101,"Lý luận, lịch sử và phê bình mỹ thuật","H01, H02, H03, H04, H05, H06, H07, H08",32.5,,2019
VU,Đại Học Vinh,7140247,Sư phạm khoa học tự nhiên,"A00, A02, B00",0,,2019
VU,Đại Học Vinh,7580301,Kinh tế,"A00, B00, A01, D01",14,Kinh tế xây dựng,2019
VU,Đại Học Vinh,7580205,Kỹ thuật xây dựng,"A00, B00, A01, D01",14,Kỹ thuật xây dựng công trình giao thông,2019
VU,Đại Học Vinh,7580202,Kỹ thuật xây dựng,"A00, B00, A01, D01",14,Kỹ thuật xây dựng công trình thuỷ,2019
VU,Đại Học Vinh,7520216,Kỹ thuật điều khiển và tự động hoá,"A00, A01, B00, D01",14,,2019
VU,Đại Học Vinh,7510301,"Công nghệ kỹ thuật điện, điện tử","A00, A01, B00, D01",14,,2019
VU,Đại Học Vinh,7850101,Quản lý tài nguyên và môi trường,"A00, B00, B08, D01",14,,2019
VU,Đại Học Vinh,7520207,Kỹ thuật điện tử - viễn thông,"A00, A01, B00, D01",14,,2019
VU,Đại Học Vinh,7510401,Công nghệ kỹ thuật hoá học,"A00, A01, B00, D07",14,,2019
VU,Đại Học Vinh,7510206,Công nghệ kỹ thuật máy tính,"A00, A01, B00, D01",14,,2019
VU,Đại Học Vinh,7510205,Công nghệ kỹ thuật ô tô,"A00, A01, B00, D01",14,,2019
VU,Đại Học Vinh,7620301,Nuôi trồng thuỷ sản,"A00, B00, B08, D01",14,,2019
VU,Đại Học Vinh,7540101,Công nghệ thực phẩm,"A00, A01, B00, D07",14,,2019
VU,Đại Học Vinh,7440301,Khoa học môi trường,"A00, B00, D01, D07",14,,2019
VU,Đại Học Vinh,7580201,Kỹ thuật xây dựng,"A00, A01, B00, D01",14,,2019
VU,Đại Học Vinh,7480201,Công nghệ thông tin,"A00, A01, B00, D01",14,,2019
VU,Đại Học Vinh,7420201,Công nghệ sinh học,"A00, B00, D01",14,,2019
VU,Đại Học Vinh,7310205,Quản lý nhà nước,"A00, A01, C00, D01",14,,2019
VU,Đại Học Vinh,7850103,Quản lý đất đai,"A00, B00, B08, D01",14,,2019
VU,Đại Học Vinh,7140114,Quản lý giáo dục,"A00, A01, C00, D01",14,,2019
VU,Đại Học Vinh,7760101,Công tác xã hội,"A00, A01, C00, D01",14,,2019
VU,Đại Học Vinh,7229042,Quản lý văn hoá,"A00, A01, C00, D01",14,,2019
VU,Đại Học Vinh,7310201,Chính trị học,"A01, C00, C19, D01",14,,2019
VU,Đại Học Vinh,7310630,Việt Nam học,"A00, A01, C00, D01",14,,2019
VU,Đại Học Vinh,7620102,Khuyến nông,"A00, B00, B08, D01",14,,2019
VU,Đại Học Vinh,7620109,Nông học,"A00, B00, B08, D01",14,,2019
VU,Đại Học Vinh,7620105,Chăn nuôi,"A00, B00, B08, D01",14,,2019
VU,Đại Học Vinh,7320101,Báo chí,"A00, A01, C00, D01",14,,2019
VU,Đại Học Vinh,7620115,Kinh tế,"A00, B00, A01, D01",15,Kinh tế nông nghiệp,2019
VU,Đại Học Vinh,7380107,Luật,"A00, A01, D01, C00",15,Luật kinh tế,2019
VU,Đại Học Vinh,7340201,Tài chính - Ngân hàng,"A00, A01, D01, D07",15,,2019
VU,Đại Học Vinh,7340101_1,Quản trị kinh doanh,"A00, A01, D01, D07",15,,2019
VU,Đại Học Vinh,7340301,Kế toán,"A00, A01, D01, D07",15,,2019
VU,Đại Học Vinh,7310101,Kinh tế,"A00, A01, B00, D01",15,,2019
VU,Đại Học Vinh,7380101,Luật,"A00, A01, C00, D01",15,,2019
VU,Đại Học Vinh,7140208,Giáo dục Quốc phòng - An ninh,"A00, C00, C19, D01",18,,2019
VU,Đại Học Vinh,7140205,Giáo dục Chính trị,"C00, C19, C20, D01",18,,2019
VU,Đại Học Vinh,7140209,Sư phạm Toán học,"A00, A01, B00, D01",18,,2019
VU,Đại Học Vinh,7140218,Sư phạm Lịch sử,"C00, C03, C19, D01",18,,2019
VU,Đại Học Vinh,7140217,Sư phạm Ngữ văn,"C00, C19, C20, D01",18,,2019
VU,Đại Học Vinh,7140213,Sư phạm Sinh học,"A00, A01, B00, D08",18,,2019
VU,Đại Học Vinh,7140212,Sư phạm Hóa học,"A00, A01, B00, D07",18,,2019
VU,Đại Học Vinh,7140219,Sư phạm Địa lý,"C00, C04, C20, D01",18,,2019
VU,Đại Học Vinh,7140210,Sư phạm Tin học,"A00, A01, B00, D01",18,,2019
VU,Đại Học Vinh,7140211,Sư phạm Vật lý,"A00, A01, B00",18,,2019
VU,Đại Học Vinh,7720301,Điều dưỡng,"A00, B00, D07, D13",18,,2019
VU,Đại Học Vinh,7220201,Ngôn ngữ Anh,"D01, D14, D15",18,,2019
VU,Đại Học Vinh,7140202,Giáo dục Tiểu học,"A00, C00, C20, D01",21,,2019
VU,Đại Học Vinh,7140231,Sư phạm Tiếng Anh,"D01, D14, D15",24,,2019
VU,Đại Học Vinh,7140201,Giáo dục Mầm non,"M00, M01, M10",24,,2019
VU,Đại Học Vinh,7140206,Giáo dục Thể chất,"T00, T01, T02, T05",26,,2019
